,price,amount
432,32095.91,248013.84999999998
433,32104.38,100486.70939999999
434,32105.040000000005,124363.2504
435,32094.920000000002,121873.1644
436,32090.850000000002,122178.61799999999
437,32092.280000000002,303505.4444
438,32089.200000000004,150906.756
439,32087.550000000003,191475.162
440,32087.550000000003,107668.3155
441,32088.760000000002,244574.6944
442,32089.970000000005,111439.71399999999
443,32087.000000000004,241935.98
444,32084.800000000003,107134.064
445,32084.800000000003,283804.64
446,32084.800000000003,134231.136
447,32093.820000000003,196034.88780000003
448,32093.820000000003,178937.6346
449,32092.170000000002,291747.0
450,32092.170000000002,151037.4219
451,32088.760000000002,291716.0
452,32092.170000000002,239320.0641
453,32092.170000000002,383588.9556
454,32092.170000000002,105320.667
455,32088.320000000003,164146.3424
456,32092.720000000005,194802.8104
457,32087.000000000004,187854.80000000002
458,32087.220000000005,237124.5558
459,32082.270000000004,138828.732
460,32081.61,102981.9681
461,32081.61,555449.3295
462,32081.61,392241.4299
463,32081.500000000004,117389.12500000001
464,32079.740000000005,102480.1876
465,32079.740000000005,103821.70400000001
466,32079.300000000003,121026.45000000001
467,32077.210000000003,121251.85380000001
468,32080.290000000005,291639.0
469,32076.000000000004,115765.20000000001
470,32075.450000000004,117017.0735
471,32075.780000000002,312301.45800000004
472,32074.9,101910.705
473,32071.710000000003,109072.97009999999
474,32071.600000000002,107614.796
475,32073.690000000006,176142.8739
476,32072.480000000003,102048.8
477,32071.600000000002,121055.712
478,32077.320000000003,550825.9068
479,32088.980000000003,289034.1944
480,32093.050000000003,222434.012
481,32093.050000000003,149291.0335
482,32092.61,214320.28459999998
483,32097.120000000003,189402.1872
484,32095.250000000004,155341.01
485,32097.670000000002,115464.0729
486,32097.670000000002,173590.0353
487,32092.500000000004,265842.6
488,32092.500000000004,159762.3
489,32102.4,111716.352
490,32106.91,116752.4
491,32106.91,105602.54579999999
492,32106.140000000003,145966.18740000002
493,32113.070000000003,680884.6651
494,32108.780000000002,732722.3596
495,32108.450000000004,130185.17
496,32108.670000000002,315540.657
497,32108.120000000003,202602.2372
498,32108.010000000002,148047.1152
499,32106.800000000003,307466.392
500,32105.480000000003,121563.022
501,32104.270000000004,109066.9609
502,32117.250000000004,932538.9525
503,32115.270000000004,140927.6439
504,32115.16,230119.7192
505,32112.960000000003,113387.94239999999
506,32110.320000000003,571184.2104
507,32109.000000000004,1026174.4500000001
508,32104.490000000005,176749.81040000002
509,32103.390000000003,104365.20240000001
510,32103.390000000003,108801.30720000001
511,32101.300000000003,117607.49
512,32101.300000000003,233464.0
513,32116.590000000004,381369.9078
514,32117.470000000005,145988.5
515,32117.690000000006,130076.64450000001
516,32117.470000000005,175273.7931
517,32125.720000000005,675019.7876
518,32127.81,103334.71979999999
519,32127.81,244901.5335
520,32125.720000000005,487843.6608
521,32122.86,103640.02739999999
522,32122.640000000003,139061.8288
523,32123.08,139063.73359999998
524,32117.91,145990.5
525,32117.58,606233.9214
526,32114.940000000006,373029.6258
527,32114.83,269268.25190000003
528,32114.83,1726026.136
529,32113.730000000003,113011.1353
530,32116.480000000003,199998.08
531,32112.850000000002,291993.38700000005
532,32111.86,177432.6228
533,32106.800000000003,396898.424
534,32115.490000000005,248165.15000000002
535,32115.490000000005,604997.4398
536,32115.490000000005,145979.5
537,32115.490000000005,378933.5861
538,32108.010000000002,138589.8468
539,32108.010000000002,121397.46689999998
540,32102.4,145920.0
541,32102.4,315070.464
542,32102.070000000003,196814.8728
543,32099.760000000002,177132.312
544,32099.100000000002,741985.287
545,32099.100000000002,408183.828
546,32099.100000000002,1768193.514
547,32098.000000000004,145258.03999999998
548,32097.780000000002,310152.0942
549,32094.700000000004,234145.42500000002
550,32091.290000000005,121246.72839999999
551,32090.520000000004,169992.2364
552,32089.530000000002,153387.9534
553,32087.000000000004,195380.66
554,32085.460000000003,209693.0654
555,32084.91,277155.28620000003
556,32077.760000000002,175027.9232
557,32077.210000000003,100489.1506
558,32076.66,166302.9018
559,32076.000000000004,170877.6
560,32077.320000000003,138748.9896
561,32072.040000000005,119628.7092
562,32070.500000000004,526860.005
563,32067.86,171184.0672
564,32065.000000000004,372362.1
565,32065.000000000004,172859.5
566,32065.000000000004,258589.65000000002
567,32065.000000000004,112285.8
568,32065.000000000004,1073419.5999999999
569,32065.000000000004,149160.55
570,32060.600000000002,154124.048
571,32060.16,135731.0592
572,32060.050000000003,124363.84850000001
573,32065.220000000005,435503.988
574,32065.11,463923.8415
575,32065.000000000004,420255.55
576,32064.010000000002,155627.0449
577,32063.9,183114.018
578,32063.790000000005,101350.7253
579,32061.15,170769.3435
580,32060.820000000003,128680.473
581,32058.4,125552.352
582,32054.770000000004,125596.41699999999
583,32054.000000000004,235043.24000000002
584,32054.000000000004,365998.4
585,32051.030000000002,102708.9825
586,32049.38,138744.67959999997
587,32048.500000000004,256096.64999999997
588,32044.100000000002,165726.259
589,32043.000000000004,247779.78
590,32043.000000000004,429696.63
591,32058.4,106492.17599999999
592,32058.290000000005,129602.92330000001
593,32059.500000000004,178279.965
594,32054.88,262995.72000000003
595,32055.540000000005,121985.9004
596,32050.480000000003,186999.9824
597,32046.300000000003,262633.995
598,32050.700000000004,141605.82
599,32050.590000000004,114682.83840000001
600,32048.940000000006,298783.52700000006
601,32048.940000000006,486561.18
602,32044.43,146821.752
603,32044.320000000003,112446.432
604,32040.91,129445.27639999999
605,32040.800000000003,222508.79200000002
606,32037.500000000004,904535.125
607,32037.500000000004,171313.25
608,32037.500000000004,526813.0
609,32037.500000000004,178944.0
610,32037.390000000003,103568.1444
611,32036.620000000003,141660.1088
612,32036.620000000003,359363.5038
613,32032.000000000004,378792.95999999996
614,32029.800000000003,103747.43400000001
615,32028.920000000002,178139.0296
616,32026.500000000004,124291.935
617,32022.210000000003,184564.37399999998
618,32022.210000000003,186194.5956
619,32022.210000000003,160052.8278
620,32021.770000000004,103604.98130000001
621,32021.66,111988.4782
622,32021.440000000006,143164.94720000002
623,32021.220000000005,119089.8282
624,32021.000000000004,182461.47999999998
625,32021.000000000004,179346.71
626,32017.700000000004,275905.25299999997
627,32016.600000000002,104694.282
628,32015.500000000004,146107.09999999998
629,32013.63,110970.8829
630,32013.41,115335.58529999999
631,32013.300000000003,102820.899
632,32015.500000000004,541469.4199999999
633,32012.31,149322.8751
